t,SP,Ball,Err,P,I,D,U,Ang,Pos
0,13.0,11.51,1.49,134.2,0.05,526.4,-500.0,-2.0,-36
0.05,13.0,23.02,-10.02,-899.3,0.05,-2222.5,500.0,-2.6,-46
0.1,13.0,23.05,-10.05,-903.9,0.05,-816.4,500.0,8.7,154
0.15,13.0,23.05,-10.05,-863.3,0.05,-154.5,500.0,23.5,417
0.2,13.0,22.96,-9.96,-797.5,0.05,146.2,500.0,28.1,500
0.25,13.0,23.01,-10.01,-794.3,0.05,53.7,500.0,28.1,500
0.3,13.0,23.01,-10.01,-794.9,0.05,17.8,500.0,28.1,500
0.35,13.0,23.03,-10.03,-796.0,0.05,-5.8,500.0,28.1,500
0.4,13.0,22.99,-9.99,-792.9,0.05,9.4,500.0,28.1,500
0.45,13.0,22.99,-9.99,-793.0,0.05,0.3,500.0,28.1,500
0.5,13.0,22.99,-9.99,-793.1,0.05,-2.5,500.0,28.1,500
0.55,13.0,22.99,-9.99,-793.1,0.05,-3.4,500.0,28.1,500
0.6,13.0,22.98,-9.98,-792.1,0.05,-7.1,500.0,28.1,500
0.65,13.0,22.99,-9.99,-792.8,0.05,-7.7,500.0,28.1,500
0.7,13.0,23.03,-10.03,-795.7,0.05,-94.3,500.0,28.1,500
0.75,13.0,23.04,-10.04,-797.2,0.05,-48.8,500.0,28.1,500
0.8,13.0,16.94,-3.94,-318.4,-0.06,1499.6,-500.0,21.4,381
0.85,13.0,16.76,-3.76,-329.0,-0.28,499.3,-169.9,4.7,83
0.9,13.0,16.34,-3.34,-300.5,-0.50,336.3,-35.3,-7.4,-132
0.95,13.0,13.56,-0.56,0.0,-0.55,1118.8,-500.0,-19.3,-343
1.0,13.0,12.65,0.35,0.0,-0.55,402.8,-402.2,-27.7,-493
1.05,13.0,11.81,1.19,94.9,-0.52,524.8,-500.0,-26.7,-474
1.1,13.0,10.47,2.53,204.5,-0.45,779.2,-500.0,-25.1,-446
1.15,13.0,12.86,0.14,0.0,-0.45,-210.4,210.8,-20.1,-358
1.2,13.0,11.73,1.27,111.9,-0.42,371.9,-483.4,-6.1,-108
1.25,13.0,10.42,2.58,231.7,-0.27,485.1,-500.0,0.0,0
1.3,13.0,12.32,0.68,0.0,-0.22,-632.1,500.0,-4.4,-79
1.35,13.0,12.40,0.60,0.0,-0.19,-399.3,399.5,-8.9,-158
1.4,13.0,13.67,-0.67,0.0,-0.15,-310.4,310.6,-12.0,-213
1.45,13.0,14.69,-1.69,-149.5,-0.20,-709.9,500.0,-5.1,-91
1.5,13.0,15.46,-2.46,-221.1,-0.30,-656.2,500.0,10.7,190
1.55,13.0,16.29,-3.29,-278.7,-0.51,-241.4,500.0,24.7,440
1.6,13.0,16.21,-3.21,-255.6,-0.67,-107.6,363.9,27.4,488
1.65,13.0,16.56,-3.56,-285.1,-0.86,-84.1,370.1,26.8,477
1.7,13.0,16.29,-3.29,-272.0,-1.05,13.8,259.3,18.2,324
1.75,13.0,17.80,-4.80,-417.1,-1.29,-533.5,500.0,15.1,268
1.8,13.0,16.37,-3.37,-287.4,-1.54,415.2,-126.3,21.7,385
1.85,13.0,17.52,-4.52,-367.5,-1.80,47.6,321.7,27.8,494
1.9,13.0,14.90,-1.90,-152.2,-1.93,615.9,-461.8,23.9,425
1.95,13.0,16.87,-3.87,-333.7,-2.08,-541.8,500.0,10.9,193
2.0,13.0,14.12,-1.12,-100.9,-2.15,380.0,-276.9,-4.3,-76
2.05,13.0,12.15,0.85,74.0,-2.13,675.0,-500.0,-20.8,-369
2.1,13.0,11.40,1.60,129.2,-2.02,258.4,-385.5,-28.0,-498
2.15,13.0,11.05,1.95,154.7,-1.90,79.3,-232.1,-26.4,-470
2.2,13.0,12.74,0.26,0.0,-1.90,-342.8,344.7,-14.6,-260
2.25,13.0,12.19,0.81,72.9,-1.87,168.2,-239.2,3.3,59
2.3,13.0,11.28,1.72,153.0,-1.82,497.7,-500.0,11.3,201
2.35,13.0,13.15,-0.15,0.0,-1.79,-316.2,318.0,8.9,158
2.4,13.0,11.83,1.17,103.3,-1.76,299.2,-400.8,9.8,174
2.45,13.0,12.22,0.78,0.0,-1.76,-140.1,141.9,8.0,142
2.5,13.0,13.79,-0.79,0.0,-1.80,128.1,-126.3,12.0,214
2.55,13.0,14.22,-1.22,-104.8,-1.88,-124.5,231.2,23.3,414
2.6,13.0,13.54,-0.54,0.0,-1.88,206.8,-204.9,28.0,498
2.65,13.0,13.09,-0.09,0.0,-1.88,74.4,-72.6,19.9,354
2.7,13.0,13.26,-0.26,0.0,-1.88,26.8,-24.9,4.3,76
2.75,13.0,13.68,-0.68,0.0,-1.88,9.6,-7.8,-2.1,-38
2.8,13.0,12.54,0.46,0.0,-1.88,3.5,-1.6,-0.1,-1
2.85,13.0,12.85,0.15,0.0,-1.88,1.3,0.6,0.0,0
2.9,13.0,13.15,-0.15,0.0,-1.88,0.5,1.4,0.1,1
2.95,13.0,13.86,-0.86,-77.5,-1.91,-309.8,389.2,1.7,31
3.0,13.0,14.12,-1.12,-100.4,-1.94,-327.1,429.4,5.5,98
3.05,13.0,12.47,0.53,0.0,-1.94,123.2,-121.2,5.9,105
3.1,13.0,13.06,-0.06,0.0,-1.94,44.3,-42.4,-2.7,-48
3.15,13.0,13.10,-0.10,0.0,-1.94,16.0,-14.0,-1.6,-29
3.2,13.0,13.17,-0.17,0.0,-1.94,5.7,-3.8,-0.2,-3
3.25,13.0,13.90,-0.90,-80.9,-1.97,-321.5,404.4,1.6,29
3.3,13.0,12.88,0.12,0.0,-1.97,78.4,-76.4,2.0,36
3.35,13.0,12.86,0.14,0.0,-1.97,28.2,-26.3,-2.4,-43
3.4,13.0,14.41,-1.41,-127.1,-2.01,-498.3,500.0,0.8,15
3.45,13.0,14.41,-1.41,-126.6,-2.06,-380.6,500.0,4.6,82
3.5,13.0,14.51,-1.51,-133.9,-2.14,-158.8,294.9,14.1,251
3.55,13.0,13.20,-0.20,0.0,-2.14,264.1,-262.0,15.0,267
3.6,13.0,12.40,0.60,0.0,-2.14,95.1,-92.9,3.6,64
3.65,13.0,12.52,0.48,0.0,-2.14,34.2,-32.1,-4.7,-84
3.7,13.0,12.80,0.20,0.0,-2.14,12.3,-10.2,-1.4,-25
3.75,13.0,12.86,0.14,0.0,-2.17,132.4,-130.2,6.0,106
3.8,13.0,13.82,-0.82,-73.2,-2.19,-245.1,320.4,7.9,140
3.85,13.0,12.40,0.60,0.0,-2.19,87.4,-85.2,7.0,125
3.9,13.0,13.70,-0.70,0.0,-2.19,31.5,-29.3,-1.8,-32
3.95,13.0,12.65,0.35,0.0,-2.23,169.8,-167.6,-2.7,-48
4.0,13.0,12.40,0.60,0.0,-2.23,61.1,-58.9,-4.9,-87
4.05,13.0,12.21,0.79,0.0,-2.23,22.0,-19.8,-1.1,-19
4.1,13.0,13.14,-0.14,0.0,-2.23,7.9,-5.7,-0.3,-5
4.15,13.0,12.50,0.50,0.0,-2.23,2.9,-0.6,0.0,0
4.2,13.0,13.51,-0.51,0.0,-2.23,1.0,1.2,0.1,1
4.25,13.0,14.04,-1.04,-93.8,-2.26,-374.8,470.8,1.6,28
4.3,13.0,14.90,-1.90,-169.4,-2.34,-464.1,500.0,13.0,232
4.35,13.0,14.65,-1.65,-138.6,-2.44,-52.1,193.1,25.3,450
4.4,13.0,14.52,-1.52,-121.8,-2.53,35.9,88.4,25.7,457
4.45,13.0,14.65,-1.65,-139.8,-2.61,-54.6,197.0,15.1,268
4.5,13.0,14.18,-1.18,-105.3,-2.68,51.5,56.6,3.3,59
4.55,13.0,13.43,-0.43,0.0,-2.68,271.4,-268.7,-9.4,-167
4.6,13.0,14.46,-1.46,-127.9,-2.75,-287.6,418.2,-15.0,-266
4.65,13.0,13.51,-0.51,0.0,-2.75,203.5,-200.7,-17.2,-306
4.7,13.0,13.50,-0.50,0.0,-2.75,73.2,-70.5,-10.2,-182
4.75,13.0,13.05,-0.05,0.0,-2.75,26.4,-23.6,-1.9,-34
4.8,13.0,13.78,-0.78,0.0,-2.75,9.5,-6.7,-0.3,-6
4.85,13.0,14.71,-1.71,-153.5,-2.80,-610.5,500.0,1.4,25
4.9,13.0,14.42,-1.42,-127.5,-2.84,-361.4,491.7,5.2,92
4.95,13.0,14.17,-1.17,-104.3,-2.91,-88.0,195.2,10.9,194
5.0,13.0,13.85,-0.85,-75.7,-2.96,41.1,37.6,5.1,90
5.05,13.0,13.85,-0.85,-76.1,-3.01,13.6,65.5,3.2,57
5.1,13.0,13.85,-0.85,-75.9,-3.06,5.5,73.5,4.1,73
5.15,13.0,14.07,-1.07,-95.6,-3.12,-67.3,166.0,8.0,143
5.2,13.0,14.18,-1.18,-104.7,-3.19,-48.2,156.1,8.9,158
5.25,13.0,14.48,-1.48,-131.0,-3.28,-101.4,235.7,12.8,228
5.3,13.0,13.50,-0.50,0.0,-3.28,277.9,-274.6,9.1,162
5.35,13.0,14.08,-1.08,-97.3,-3.31,-289.3,389.9,-3.9,-70
5.4,13.0,13.49,-0.49,0.0,-3.31,129.4,-126.1,-11.6,-206
5.45,13.0,13.84,-0.84,-74.0,-3.33,-249.5,326.8,-7.1,-126
5.5,13.0,13.82,-0.82,-73.9,-3.36,-202.1,279.4,1.1,19
5.55,13.0,12.23,0.77,0.0,-3.36,104.7,-101.3,7.1,126
5.6,13.0,12.19,0.81,72.6,-3.31,212.7,-282.0,0.3,5
5.65,13.0,12.17,0.83,74.1,-3.26,82.1,-153.0,-10.0,-177
5.7,13.0,12.62,0.38,0.0,-3.24,-264.7,268.0,-8.5,-151
5.75,13.0,13.20,-0.20,0.0,-3.28,135.4,-132.1,2.9,52
5.8,13.0,12.51,0.49,0.0,-3.28,48.8,-45.5,6.7,119
5.85,13.0,13.84,-0.84,-75.1,-3.31,-283.0,361.4,0.1,1
5.9,13.0,13.57,-0.57,0.0,-3.37,358.1,-354.7,-0.4,-7
5.95,13.0,13.27,-0.27,0.0,-3.37,128.9,-125.5,-6.9,-123
6.0,13.0,14.21,-1.21,-107.6,-3.40,-383.8,494.8,-5.1,-91
6.05,13.0,14.23,-1.23,-110.9,-3.48,-115.3,229.7,7.1,127
6.1,13.0,13.93,-0.93,-82.2,-3.55,58.6,27.1,12.8,228
6.15,13.0,13.78,-0.78,0.0,-3.55,218.4,-214.9,5.6,100
6.2,13.0,14.01,-1.01,-90.8,-3.60,-167.5,261.9,-3.0,-53
6.25,13.0,14.18,-1.18,-106.2,-3.67,-100.8,210.7,0.7,12
6.3,13.0,14.17,-1.17,-104.6,-3.74,-34.7,143.0,8.4,149
6.35,13.0,15.51,-2.51,-219.3,-3.87,-377.9,500.0,20.0,355
6.4,13.0,14.19,-1.19,-96.5,-3.93,169.4,-69.0,27.7,493
6.45,13.0,13.33,-0.33,0.0,-3.99,576.7,-500.0,22.9,407
6.5,13.0,12.95,0.05,0.0,-4.05,497.1,-493.0,14.1,251
6.55,13.0,14.13,-1.13,-100.7,-4.09,-224.0,328.8,-0.3,-5
6.6,13.0,12.45,0.55,0.0,-4.06,11.8,-7.8,-15.4,-273
6.65,13.0,12.13,0.87,72.6,-4.03,294.8,-363.4,-23.2,-412
6.7,13.0,12.19,0.81,0.0,-4.03,-68.2,72.2,-18.2,-323
6.75,13.0,11.60,1.40,123.2,-3.96,337.5,-456.7,-11.2,-199
6.8,13.0,11.82,1.18,105.2,-3.93,246.7,-348.0,-7.3,-129
6.85,13.0,14.85,-1.85,-166.7,-4.01,-699.9,500.0,7.0,125
6.9,13.0,13.21,-0.21,0.0,-4.01,148.2,-144.2,23.0,409
6.95,13.0,14.80,-1.80,-143.9,-4.06,-522.2,500.0,28.1,500
7.0,13.0,14.27,-1.27,-103.1,-4.14,-50.0,157.3,22.2,395
7.05,13.0,13.78,-0.78,0.0,-4.14,229.4,-225.3,5.3,94
7.1,13.0,14.22,-1.22,-109.9,-4.23,-83.4,197.6,-9.1,-161
7.15,13.0,14.19,-1.19,-104.7,-4.30,-15.8,124.8,-11.9,-212
7.2,13.0,13.93,-0.93,-83.1,-4.38,151.8,-64.3,-4.3,-76
7.25,13.0,14.89,-1.89,-170.0,-4.50,-128.1,302.6,5.8,103
7.3,13.0,14.54,-1.54,-133.5,-4.63,246.3,-108.2,21.5,383
7.35,13.0,15.65,-2.65,-213.0,-4.74,-247.2,464.9,28.0,497
7.4,13.0,13.92,-0.92,-74.7,-4.81,366.8,-287.2,21.5,382
7.45,13.0,13.53,-0.53,0.0,-4.86,505.1,-500.0,6.7,119
7.5,13.0,13.88,-0.88,-79.0,-4.92,68.1,15.8,-7.1,-127
7.55,13.0,12.40,0.60,0.0,-4.97,415.4,-410.5,-12.7,-226
7.6,13.0,11.89,1.11,94.7,-4.93,528.4,-500.0,-21.3,-379
7.65,13.0,12.16,0.84,0.0,-4.91,-164.8,169.7,-27.8,-495
7.7,13.0,12.13,0.87,0.0,-4.91,-59.3,64.2,-21.3,-379
7.75,13.0,12.47,0.53,0.0,-4.91,-21.4,26.3,-5.7,-102
7.8,13.0,14.09,-1.09,-97.9,-4.94,-399.4,500.0,3.8,67
7.85,13.0,14.38,-1.38,-122.8,-4.98,-399.8,500.0,12.7,226
7.9,13.0,14.78,-1.78,-152.3,-5.06,-335.6,492.9,21.7,385
7.95,13.0,13.82,-0.82,0.0,-5.09,407.4,-402.3,27.6,491
8.0,13.0,13.84,-0.84,0.0,-5.09,146.7,-141.6,20.8,369
8.05,13.0,13.98,-0.98,-86.8,-5.12,-294.4,386.3,4.7,83
