t,SP,Ball,Err,P,I,D,U,Ang,Pos,Vel,Blend,Zona
0.0,13.0,23.02,10.02,448.8,0.00,321.3,430.0,5.6,100,42.8,0.00,0
0.094,13.0,23.06,10.06,432.8,0.00,67.6,430.0,17.0,302,3.7,0.00,0
0.187,13.0,23.90,10.90,448.8,0.00,62.0,430.0,23.8,424,33.6,0.00,0
0.28,13.0,23.92,10.92,448.4,0.00,17.7,430.0,24.2,430,2.4,0.00,0
0.456,13.0,22.94,9.94,408.2,0.00,-39.8,430.0,24.2,430,-13.4,0.00,0
0.467,13.0,23.05,10.05,412.4,0.00,-17.9,430.0,24.2,430,12.1,0.00,0
0.56,13.0,23.02,10.02,411.1,0.00,-29.5,430.0,24.2,430,-22.2,0.00,0
0.699,13.0,23.01,10.01,410.8,0.00,-14.1,430.0,24.2,430,-4.4,0.00,0
0.792,13.0,23.50,10.50,431.0,0.00,7.2,430.0,24.2,430,5.8,0.00,0
0.886,13.0,23.01,10.01,411.0,0.00,-11.5,430.0,24.2,430,-2.5,0.00,0
0.978,13.0,22.26,9.26,380.3,0.00,-72.0,430.0,24.2,430,-22.3,0.00,0
1.116,13.0,22.99,9.99,410.2,0.00,2.9,430.0,24.2,430,1.8,0.00,0
1.209,13.0,22.98,9.98,413.5,0.00,28.6,430.0,22.9,408,14.1,0.00,0
1.302,13.0,23.38,10.38,426.1,0.00,7.5,430.0,24.2,430,8.2,0.00,0
1.441,13.0,23.79,10.79,446.7,0.00,77.2,430.0,23.1,411,34.4,0.00,0
1.49,13.0,18.27,5.27,216.6,0.05,-367.6,-395.1,24.0,426,-140.3,0.18,1
1.582,13.0,16.86,3.86,165.9,0.16,-190.9,-222.1,17.0,303,-29.2,0.54,1
1.674,13.0,17.19,4.19,187.7,0.58,-32.9,306.1,5.7,102,25.6,0.45,1
1.814,13.0,16.20,3.20,143.5,0.96,-79.6,-89.0,-4.4,-78,-32.1,0.70,1
1.907,13.0,15.72,2.72,121.6,1.32,-95.2,-58.3,-7.3,-129,-14.1,0.82,1
2.004,13.0,17.08,4.08,183.5,1.62,99.0,360.3,-0.8,-15,30.0,0.48,1
2.093,13.0,13.69,0.69,31.2,1.82,-164.1,-130.2,3.1,55,30.6,1.00,2
2.188,13.0,12.81,-0.19,0.0,1.88,-99.9,-97.1,-0.4,-7,5.2,1.00,2
2.281,13.0,12.12,-0.88,-39.5,1.87,-108.3,-145.1,-6.1,-109,-5.1,1.00,2
2.421,13.0,12.73,-0.27,0.0,1.82,27.3,30.0,-6.6,-118,1.5,1.00,2
2.513,13.0,11.76,-1.24,-55.1,1.69,-26.8,-79.4,-7.9,-141,-18.5,1.00,2
2.607,13.0,11.78,-1.22,-54.3,1.60,-54.0,-105.9,-9.5,-168,73.7,1.00,2
2.701,13.0,24.78,11.78,529.6,0.00,581.9,430.0,-2.2,-39,266.3,0.00,0
2.793,13.0,24.75,11.75,523.5,0.00,153.2,430.0,7.9,141,83.1,0.00,0
2.933,13.0,24.81,11.81,506.8,0.00,14.5,430.0,17.5,312,14.0,0.00,0
3.025,13.0,24.80,11.80,485.3,0.00,-21.6,430.0,24.0,426,0.3,0.00,0
3.117,13.0,24.81,11.81,484.9,0.00,-6.3,430.0,24.2,430,0.1,0.00,0
3.211,13.0,24.84,11.84,485.8,0.00,-22.4,430.0,24.2,430,-14.4,0.00,0
3.305,13.0,24.81,11.81,484.9,0.00,-4.5,430.0,24.2,430,0.6,0.00,0
3.406,13.0,24.75,11.75,482.4,0.00,-16.5,430.0,24.2,430,-11.7,0.00,0
3.494,13.0,24.80,11.80,484.4,0.00,-2.1,430.0,24.2,430,-2.7,0.00,0
3.634,13.0,16.85,3.85,162.7,0.30,-278.3,-270.0,20.1,357,-138.1,0.54,1
3.727,13.0,17.18,4.18,185.4,0.28,-89.3,-201.4,9.8,174,-29.5,0.45,1
3.821,13.0,24.86,11.86,533.7,0.00,412.0,430.0,-0.6,-11,187.0,0.00,0
3.915,13.0,17.16,4.16,186.1,0.13,-386.9,-335.0,-5.7,-102,-186.8,0.46,1
4.008,13.0,17.32,4.32,188.8,0.33,-110.3,-228.0,-13.8,-246,-43.7,0.42,1
4.102,13.0,24.91,11.91,517.2,0.00,318.0,430.0,-15.1,-269,259.1,0.00,0
4.195,13.0,11.73,-1.27,-56.3,-0.00,-642.4,-220.0,-9.5,-169,-247.4,1.00,2
4.334,13.0,11.96,-1.04,-46.1,-0.08,-180.1,-220.0,-10.0,-178,-156.5,1.00,2
4.427,13.0,12.19,-0.81,-36.1,-0.14,-68.7,-104.9,-10.4,-185,-87.4,1.00,2
4.521,13.0,13.53,0.53,0.0,-0.12,-20.4,-20.6,-1.7,-30,-41.8,1.00,2
4.614,13.0,14.93,1.93,85.5,0.05,50.6,136.1,10.0,177,36.3,1.00,2
4.707,13.0,16.42,3.42,144.9,0.38,58.5,284.0,19.5,346,-9.4,0.65,1
4.8,13.0,16.22,3.22,133.9,0.72,-15.8,-53.8,22.3,396,-16.0,0.70,1
4.941,13.0,16.17,3.17,137.7,1.08,-33.6,-57.2,15.4,273,-21.3,0.71,1
5.037,13.0,16.82,3.82,170.7,1.47,5.6,293.0,6.9,123,-5.8,0.54,1
5.126,13.0,16.78,3.78,169.9,1.83,20.8,298.9,3.8,67,-1.0,0.55,1
5.22,13.0,17.45,4.45,199.5,2.29,47.7,360.5,4.7,83,8.4,0.39,1
5.36,13.0,17.97,4.97,218.9,0.40,50.9,388.8,11.7,208,10.0,0.26,1
5.452,13.0,16.85,3.85,161.3,0.34,-80.9,-164.2,21.3,379,-32.9,0.54,1
5.546,13.0,17.85,4.85,198.8,0.09,-62.3,-280.7,24.2,431,-56.6,0.29,1
5.64,13.0,19.54,6.54,277.1,0.00,22.7,430.0,19.7,350,76.6,0.00,0
5.733,13.0,16.96,3.96,172.7,0.29,-156.7,-211.7,14.0,249,-61.7,0.51,1
5.828,13.0,17.16,4.16,187.0,0.72,-40.8,-175.4,3.1,55,-11.5,0.46,1
5.967,13.0,19.08,6.08,271.1,0.00,113.9,430.0,-7.5,-133,55.8,0.00,0
6.059,13.0,19.15,6.15,270.0,0.00,43.4,430.0,-12.8,-228,15.4,0.00,0
6.152,13.0,17.35,4.35,189.7,0.34,-101.7,-128.6,-14.3,-254,-7.5,0.41,1
6.246,13.0,17.90,4.90,218.0,0.05,-17.2,367.0,-8.5,-152,34.8,0.28,1
6.339,13.0,18.20,5.20,234.0,0.05,-201.0,351.0,2.0,35,9.3,0.20,1
6.44,13.0,23.14,10.14,443.8,0.00,76.4,430.0,13.4,239,30.8,0.00,0
6.572,13.0,23.00,10.00,415.2,0.00,9.3,430.0,22.6,402,15.0,0.00,0
6.666,13.0,23.00,10.00,410.5,0.00,-2.6,430.0,24.2,430,-0.4,0.00,0
6.758,13.0,23.01,10.01,411.0,0.00,-0.9,430.0,24.2,430,-0.5,0.00,0
6.852,13.0,23.03,10.03,411.8,0.00,1.0,430.0,24.2,430,1.0,0.00,0
6.946,13.0,22.99,9.99,410.2,0.00,-2.4,430.0,24.2,430,-0.3,0.00,0
7.039,13.0,23.00,10.00,410.6,0.00,-5.1,430.0,24.2,430,-2.5,0.00,0
7.131,13.0,23.02,10.02,411.4,0.00,0.1,430.0,24.2,430,0.7,0.00,0
7.271,13.0,23.86,10.86,445.7,0.00,41.1,430.0,24.2,430,13.7,0.00,0
7.365,13.0,23.01,10.01,410.9,0.00,-38.2,430.0,24.2,430,-24.3,0.00,0
7.459,13.0,23.51,10.51,431.4,0.00,32.7,430.0,24.2,430,11.6,0.00,0
7.552,13.0,23.03,10.03,411.9,0.00,-3.3,430.0,24.2,430,-0.3,0.00,0
7.646,13.0,23.01,10.01,411.0,0.00,-5.2,430.0,24.2,430,-1.8,0.00,0
7.739,13.0,23.01,10.01,410.8,0.00,-2.3,430.0,24.2,430,-1.0,0.00,0
7.832,13.0,22.96,9.96,408.7,0.00,-9.3,430.0,24.2,430,-5.8,0.00,0
7.973,13.0,23.01,10.01,411.1,0.00,-0.9,430.0,24.2,430,-0.1,0.00,0
8.071,13.0,22.99,9.99,409.9,0.00,-31.3,430.0,24.2,430,-19.5,0.00,0
8.159,13.0,23.54,10.54,436.4,0.00,50.2,430.0,23.1,411,16.2,0.00,0
8.253,13.0,23.08,10.08,415.2,0.00,-10.5,430.0,23.7,422,-3.7,0.00,0
8.346,13.0,21.92,8.92,366.3,0.00,-147.2,-450.0,24.2,430,-52.1,0.00,0
8.44,13.0,17.48,4.48,188.7,0.26,-252.1,-302.8,20.6,366,-42.7,0.38,1
8.578,13.0,17.77,4.77,209.7,0.31,-40.3,-259.8,12.4,221,-29.5,0.31,1
8.671,13.0,16.82,3.82,171.9,0.70,-41.5,-133.2,1.0,17,-8.8,0.54,1
8.765,13.0,16.31,3.31,148.1,1.08,-70.6,194.4,-6.8,-121,31.3,0.67,1
8.858,13.0,15.51,2.51,112.8,1.40,-87.2,-33.1,-2.6,-47,-36.1,0.87,1
8.952,13.0,14.51,1.51,67.9,1.61,-90.2,-19.9,0.0,0,36.7,1.00,2
9.045,13.0,13.88,0.88,39.4,1.69,-31.9,10.1,0.2,3,13.9,1.00,2
9.184,13.0,12.05,-0.95,-42.7,1.69,-134.2,-174.3,-5.7,-101,-1.8,1.00,2
9.278,13.0,12.50,-0.50,0.0,1.65,23.2,25.7,-8.9,-159,4.1,1.00,2
9.371,13.0,11.54,-1.46,-65.6,1.53,-57.1,-120.4,-5.3,-95,-25.4,1.00,2
9.47,13.0,11.55,-1.45,-65.0,1.43,-52.7,-115.6,-2.5,-45,60.6,1.00,2
9.556,13.0,23.85,10.85,488.3,0.00,734.2,430.0,0.7,12,467.5,0.00,0
9.649,13.0,24.82,11.82,526.7,0.00,340.3,430.0,7.9,140,225.0,0.00,0
9.788,13.0,24.81,11.81,502.6,0.00,61.6,430.0,19.0,337,15.0,0.00,0
9.881,13.0,25.45,12.45,512.0,0.00,39.9,430.0,24.0,426,25.0,0.00,0
9.974,13.0,25.02,12.02,493.2,0.00,-36.0,430.0,24.2,430,-4.5,0.00,0
10.068,13.0,25.58,12.58,516.6,0.00,35.9,430.0,24.2,430,2.3,0.00,0
10.162,13.0,25.64,12.64,518.8,0.00,11.5,430.0,24.2,430,7.2,0.00,0
10.255,13.0,24.82,11.82,485.3,0.00,-30.1,430.0,24.2,430,-7.6,0.00,0
10.348,13.0,24.81,11.81,484.9,0.00,-9.0,430.0,24.2,430,-0.7,0.00,0
10.487,13.0,24.81,11.81,495.6,0.00,116.4,430.0,21.2,376,25.3,0.00,0
10.581,13.0,23.77,10.77,459.2,0.00,-50.6,430.0,18.6,330,-22.0,0.00,0
10.673,13.0,13.69,0.69,28.3,0.19,-724.5,-220.0,23.4,416,-139.4,1.00,2
10.766,13.0,10.47,-2.53,-107.8,0.02,-335.4,-275.1,19.0,338,-103.8,0.87,1
10.859,13.0,13.03,0.03,0.0,-0.21,140.6,140.3,7.0,124,5.1,1.00,2
10.952,13.0,10.85,-2.15,-96.3,-0.04,-311.7,-235.9,-4.7,-83,-8.8,0.96,1
11.093,13.0,12.12,-0.88,-38.6,0.06,-156.1,-194.6,-12.4,-220,-18.8,1.00,2
11.184,13.0,15.22,2.22,96.6,-0.09,305.6,242.6,-14.9,-264,75.9,0.94,1
